M_0_E_0_TC_1,M_0_E_0_TC_2,M_0_E_0_TC_4,M_0_E_0_TC_8,M_0_E_0_TC_16,M_0_E_0_TC_32,M_0_E_1_TC_1,M_0_E_1_TC_2,M_0_E_1_TC_4,M_0_E_1_TC_8,M_0_E_1_TC_16,M_0_E_1_TC_32,M_1_E_0_TC_1,M_1_E_0_TC_2,M_1_E_0_TC_4,M_1_E_0_TC_8,M_1_E_0_TC_16,M_1_E_0_TC_32,M_1_E_1_TC_1,M_1_E_1_TC_2,M_1_E_1_TC_4,M_1_E_1_TC_8,M_1_E_1_TC_16,M_1_E_1_TC_32,M_0_E_OS_TC_1,M_0_E_OS_TC_2,M_0_E_OS_TC_4,M_0_E_OS_TC_8,M_0_E_OS_TC_16,M_0_E_OS_TC_32,M_1_E_OS_TC_1,M_1_E_OS_TC_2,M_1_E_OS_TC_4,M_1_E_OS_TC_8,M_1_E_OS_TC_16,M_1_E_OS_TC_32,M_0_E_b_TC_1,M_0_E_b_TC_2,M_0_E_b_TC_4,M_0_E_b_TC_8,M_0_E_b_TC_16,M_0_E_b_TC_32,M_1_E_b_TC_1,M_1_E_b_TC_2,M_1_E_b_TC_4,M_1_E_b_TC_8,M_1_E_b_TC_16,M_1_E_b_TC_32
6.0,0.0,6.0,0.0,94.0,86.0,0,0,0,6,0,6,0.0,0.0,13.0,0.0,100.0,100.0,0,6,6,0,0,0,0,13,0,0,75,33,0.0,93.0,0.0,0.0,0.0,57.0,0.0,0.0,6.0,100.0,100.0,100.0,0,0,100,100,87,94
0.0,0.0,0.0,6.0,93.0,81.0,0,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,0,0,100,33,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,100.0,100.0,100.0,93.0,0,0,0,0,87,100
0.0,0.0,0.0,0.0,93.0,87.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,100.0,0,0,0,0,0,0,0,13,0,0,100,27,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,100.0,6.0,100.0,100.0,0,100,100,0,0,94
0.0,0.0,0.0,0.0,93.0,88.0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,100.0,100.0,0,0,0,0,0,0,0,0,0,0,100,38,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,93.0,0,0,0,0,0,100
0.0,7.0,0.0,100.0,93.0,87.0,0,0,0,0,7,0,0.0,0.0,6.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,0,0,100,36,0.0,0.0,0.0,67.0,100.0,56.0,0.0,0.0,0.0,100.0,0.0,93.0,0,6,0,0,0,94
0.0,0.0,100.0,0.0,93.0,81.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,100.0,0,0,0,0,0,0,0,7,0,0,100,38,0.0,0.0,0.0,100.0,100.0,53.0,0.0,0.0,0.0,100.0,0.0,94.0,0,0,0,0,0,93
100.0,0.0,100.0,100.0,93.0,88.0,0,0,0,0,0,0,100.0,100.0,12.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,0,0,100,29,0.0,0.0,0.0,100.0,100.0,57.0,0.0,0.0,0.0,0.0,0.0,94.0,0,0,0,0,93,100
0.0,0.0,100.0,0.0,93.0,81.0,0,0,0,6,6,0,0.0,0.0,100.0,0.0,100.0,100.0,0,0,0,6,0,0,100,20,0,0,100,38,0.0,0.0,0.0,6.0,100.0,56.0,0.0,100.0,0.0,0.0,100.0,94.0,0,0,0,0,0,93
0.0,0.0,100.0,100.0,93.0,80.0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,100.0,100.0,0,0,0,0,0,0,0,0,0,27,0,36,0.0,0.0,0.0,0.0,100.0,60.0,0.0,0.0,0.0,0.0,0.0,94.0,0,0,0,0,0,100
0.0,93.0,0.0,100.0,100.0,80.0,0,0,0,0,0,0,0.0,100.0,100.0,0.0,100.0,100.0,0,0,0,0,0,0,0,100,0,100,0,29,0.0,0.0,0.0,0.0,100.0,56.0,0.0,0.0,0.0,0.0,0.0,100.0,0,0,0,100,87,94
